% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
5.006	1	4	6	3203.11	0
5.041	1	5	1	1396.07	0
5.042	1	3	2	18454.4	0
5.043	1	1	3	1837.68	0
5.044	1	2	4	2465.51	0
5.046	1	4	6	3686.24	0
5.081	1	5	1	5882.93	0
5.082	1	3	2	7516.93	0
5.083	1	1	3	4943.19	0
5.084	1	2	4	3214.01	0
5.086	1	4	6	12010.2	0
5.121	1	5	1	7923.38	0
5.122	1	3	2	7165.89	0
5.123	1	1	3	1634.46	0
5.124	1	2	4	1255.57	0
5.126	1	4	6	15692.3	0
5.161	1	5	1	5078.82	0
5.162	1	3	2	7953.14	0
5.163	1	1	3	1749.57	0
5.164	1	2	4	1567.93	0
5.166	1	4	6	3577.02	0
5.201	1	5	1	10306.6	0
5.202	1	3	2	2150.2	0
5.203	1	1	3	2348.24	0
5.204	1	2	4	1093.41	0
5.206	1	4	6	3249.76	0
5.241	1	5	1	403.209	0
5.242	1	3	2	2602.83	0
5.243	1	1	3	2108.45	0
5.244	1	2	4	1224.82	0
5.246	1	4	6	5369.68	0
5.281	1	5	1	2383.79	0
5.282	1	3	2	1716.45	0
5.283	1	1	3	5545.2	0
5.284	1	2	4	3112.43	0
5.286	1	4	6	4241.6	0
5.321	1	5	1	4147.83	0
5.322	1	3	2	2302.1	0
5.323	1	1	3	1306	0
5.324	1	2	4	2574.17	0
5.326	1	4	6	1709.57	0
5.361	1	5	1	1395.72	0
5.362	1	3	2	5801.93	0
5.363	1	1	3	2120.64	0
5.364	1	2	4	2026.28	0
5.366	1	4	6	1092.62	0
5.401	1	5	1	5615.15	0
5.402	1	3	2	3956.85	0
5.403	1	1	3	14841.2	0
5.404	1	2	4	3822.5	0
5.406	1	4	6	1121.13	0
5.441	1	5	1	4736.35	0
5.442	1	3	2	3163.37	0
5.443	1	1	3	4820.13	0
5.444	1	2	4	3679.27	0
5.446	1	4	6	3967.56	0
5.481	1	5	1	24167.7	0
5.482	1	3	2	5068.39	0
5.483	1	1	3	5269.12	0
5.484	1	2	4	1299.89	0
5.486	1	4	6	8880.07	0
5.521	1	5	1	5418.33	0
5.522	1	3	2	6133.69	0
5.523	1	1	3	4340.31	0
5.524	1	2	4	3190.06	0
5.526	1	4	6	1871.41	0
5.561	1	5	1	1631.8	0
5.562	1	3	2	4535.83	0
5.563	1	1	3	8748.82	0
5.564	1	2	4	3394.67	0
5.566	1	4	6	5272.09	0
5.601	1	5	1	2197.06	0
5.602	1	3	2	4117.71	0
5.603	1	1	3	3610.38	0
5.604	1	2	4	1065.03	0
5.606	1	4	6	3406.95	0
5.641	1	5	1	5989.63	0
5.642	1	3	2	6436.48	0
5.643	1	1	3	5286	0
5.644	1	2	4	984.245	0
5.646	1	4	6	2008.51	0
5.681	1	5	1	6623.75	0
5.682	1	3	2	10386.5	0
5.683	1	1	3	8536.74	0
5.684	1	2	4	2407.46	0
5.686	1	4	6	9858.23	0
5.721	1	5	1	2450.68	0
5.722	1	3	2	1912.21	0
5.723	1	1	3	1129.6	0
5.724	1	2	4	1269.47	0
5.726	1	4	6	5793.34	0
5.761	1	5	1	6806.56	0
5.762	1	3	2	3314.95	0
5.763	1	1	3	8294.87	0
5.764	1	2	4	616.709	0
5.766	1	4	6	4924.35	0
5.801	1	5	1	7377.77	0
5.802	1	3	2	10071	0
5.803	1	1	3	3604.34	0
5.804	1	2	4	1950.47	0
5.806	1	4	6	7418.54	0
5.841	1	5	1	4163.23	0
5.842	1	3	2	10991.5	0
5.843	1	1	3	1773.84	0
5.844	1	2	4	2616.33	0
5.846	1	4	6	2530.51	0
5.881	1	5	1	3397.05	0
5.882	1	3	2	21303	0
5.883	1	1	3	6076.92	0
5.884	1	2	4	1590.83	0
5.886	1	4	6	6992.35	0
5.921	1	5	1	1832.18	0
5.922	1	3	2	2076.66	0
5.923	1	1	3	2323.67	0
5.924	1	2	4	1533.43	0
5.926	1	4	6	5680.14	0
5.961	1	5	1	2144.47	0
5.962	1	3	2	1955.83	0
5.963	1	1	3	9334.95	0
5.964	1	2	4	1336.94	0
5.966	1	4	6	1602.62	0
6.001	1	5	1	720.116	0
6.002	1	3	2	11541.9	0
6.003	1	1	3	9128.99	0
6.004	1	2	4	1183.04	0
6.006	1	4	6	4626.51	0
6.041	1	5	1	3791.82	0
6.042	1	3	2	18370	0
6.043	1	1	3	4979.24	0
6.044	1	2	4	794.636	0
6.046	1	4	6	4132.27	0
6.081	1	5	1	10571.3	0
6.082	1	3	2	18406.7	0
6.083	1	1	3	5118.06	0
6.084	1	2	4	1838.85	0
6.086	1	4	6	3384.58	0
6.121	1	5	1	7286.28	0
6.122	1	3	2	16494.7	0
6.123	1	1	3	7378.58	0
6.124	1	2	4	4622.19	0
6.126	1	4	6	6365.72	0
6.161	1	5	1	17072	0
6.162	1	3	2	8879.99	0
6.163	1	1	3	1515.25	0
6.164	1	2	4	3257.48	0
6.166	1	4	6	6773.22	0
6.201	1	5	1	11450.3	0
6.202	1	3	2	2027.51	0
6.203	1	1	3	8519.24	0
6.204	1	2	4	1378.29	0
6.206	1	4	6	3244.12	0
6.241	1	5	1	2501.51	0
6.242	1	3	2	2306.47	0
6.243	1	1	3	7085.09	0
6.244	1	2	4	1983.33	0
6.246	1	4	6	3590.08	0
6.281	1	5	1	3131.98	0
6.282	1	3	2	5165.2	0
6.283	1	1	3	854.139	0
6.284	1	2	4	635.098	0
6.286	1	4	6	2157.59	0
6.321	1	5	1	2461.68	0
6.322	1	3	2	2070.62	0
6.323	1	1	3	2285.42	0
6.324	1	2	4	1671.18	0
6.326	1	4	6	2207.14	0
6.361	1	5	1	4697.77	0
6.362	1	3	2	4994.93	0
6.363	1	1	3	5796.93	0
6.364	1	2	4	3821.64	0
6.366	1	4	6	7210.04	0
6.401	1	5	1	4152.65	0
6.402	1	3	2	8035.39	0
6.403	1	1	3	2395.11	0
6.404	1	2	4	2396.89	0
6.406	1	4	6	9579.76	0
6.441	1	5	1	2019.17	0
6.442	1	3	2	3418.65	0
6.443	1	1	3	1695.65	0
6.444	1	2	4	2714.71	0
6.446	1	4	6	14387.4	0
6.481	1	5	1	6273.74	0
6.482	1	3	2	2514.82	0
6.483	1	1	3	5568.38	0
6.484	1	2	4	2883.69	0
6.486	1	4	6	26013.9	0
6.521	1	5	1	2016.44	0
6.522	1	3	2	2677.41	0
6.523	1	1	3	5176.86	0
6.524	1	2	4	2386.82	0
6.526	1	4	6	4428.23	0
6.561	1	5	1	6549.43	0
6.562	1	3	2	3129.05	0
6.563	1	1	3	9652.4	0
6.564	1	2	4	1720.65	0
